Date,Open,High,Low,Close,Adj Close
2010-11-17,142.490005,142.490005,141.389999,141.949997,126.028086
2010-11-18,143.039993,144.990005,142.75,144.360001,128.16777
2010-11-19,144.380005,145.350006,143.990005,145.050003,128.780378
2010-11-22,144.0,145.429993,143.559998,145.389999,129.082239
2010-11-23,144.240005,144.529999,142.330002,143.179993,127.120119
2010-11-24,143.949997,146.440002,143.820007,145.809998,129.455127
2010-11-26,145.300003,145.300003,143.570007,143.899994,127.75936
2010-11-29,143.529999,143.669998,141.5,142.889999,126.862653
2010-11-30,142.240005,142.759995,141.279999,141.460007,125.593056
2010-12-01,143.610001,145.130005,143.509995,144.410004,128.212165
2010-12-02,144.330002,145.850006,144.300003,145.179993,128.895787
2010-12-03,144.25,145.679993,144.25,145.380005,129.073365
2010-12-06,144.539993,145.869995,144.520004,144.990005,128.72711
2010-12-07,146.020004,146.300003,143.869995,144.020004,127.86591
2010-12-08,144.350006,145.649994,143.839996,144.979996,128.718223
2010-12-09,145.940002,145.940002,143.520004,144.300003,128.114502
2010-12-10,144.880005,144.949997,143.729996,144.820007,128.57618
2010-12-13,145.139999,145.399994,144.210007,144.279999,128.096742
2010-12-14,144.259995,146.009995,144.259995,145.820007,129.464014
2010-12-15,145.130005,145.720001,144.309998,144.720001,128.487391
2010-12-16,144.839996,145.320007,144.149994,144.550003,128.336461
2010-12-17,144.690002,145.5,144.399994,145.0,128.735984
2010-12-20,145.389999,145.539993,144.389999,144.509995,128.30094
2010-12-21,144.990005,145.990005,144.330002,145.740005,129.392986
2010-12-22,145.660004,146.399994,145.580002,145.949997,129.579424
2010-12-23,145.889999,146.330002,145.330002,145.889999,129.526156
2010-12-27,145.119995,145.699997,145.0,145.339996,129.037844
2010-12-28,145.309998,146.149994,145.059998,145.710007,129.366352
2010-12-29,146.0,147.5,145.710007,146.520004,130.085496
2010-12-30,146.360001,147.110001,146.25,146.669998,130.218665
2010-12-31,146.729996,147.070007,145.960007,146.759995,130.298567
